# T[GeV]  muB[GeV]  eps[fm-4]  nB[fm-3]  muQ[GeV]  muS[GeV]  P[fm-4]  residual
0.000000 0.579418 0.000000 -0.100000 0.008643 0.095905 0.000000 1.000000
0.137495 -0.050000 0.100000 -0.100000 0.041675 -0.050000 0.024721 0.107297
0.142741 -0.050000 0.200000 -0.100000 0.044048 -0.050000 0.031326 0.108459
0.150527 -0.050000 0.300000 -0.100000 0.033588 -0.050000 0.044124 0.109536
0.157040 -0.050000 0.400000 -0.100000 0.028179 -0.050000 0.059011 0.106422
0.162657 -0.050000 0.500000 -0.100000 0.023990 -0.050000 0.075701 0.099431
0.167229 -0.050000 0.600000 -0.100000 0.020218 -0.050000 0.092502 0.095157
0.170972 -0.050000 0.700000 -0.100000 0.017236 -0.050000 0.108752 0.094355
0.174246 -0.050000 0.800000 -0.100000 0.015038 -0.050000 0.124986 0.095102
0.177275 -0.050000 0.900000 -0.100000 0.013389 -0.050000 0.141764 0.096600
0.180165 -0.050000 1.000000 -0.100000 0.012090 -0.050000 0.159402 0.098624
0.000000 0.920134 0.000000 -0.058824 0.000842 0.236064 0.000000 1.000000
0.131559 -0.050000 0.100000 -0.058824 0.050000 -0.050000 0.019234 0.067296
0.143732 -0.050000 0.200000 -0.058824 0.029843 -0.050000 0.032402 0.064704
0.151845 -0.050000 0.300000 -0.058824 0.021618 -0.050000 0.046647 0.063545
0.158203 -0.050000 0.400000 -0.058824 0.017358 -0.050000 0.062064 0.060243
0.163383 -0.050000 0.500000 -0.058824 0.014032 -0.050000 0.078134 0.056950
0.167614 -0.050000 0.600000 -0.058824 0.011400 -0.050000 0.094080 0.056509
0.171219 -0.050000 0.700000 -0.058824 0.009530 -0.050000 0.109953 0.058124
0.174453 -0.050000 0.800000 -0.058824 0.008204 -0.048538 0.126087 0.058855
0.177469 -0.050000 0.900000 -0.058824 0.007214 -0.045093 0.142788 0.056765
0.180357 -0.050000 1.000000 -0.058824 0.006469 -0.041922 0.160404 0.054312
0.000000 0.220551 0.000000 -0.017647 -0.047178 -0.050000 0.000000 1.000000
0.132514 -0.050000 0.100000 -0.017647 0.027696 -0.050000 0.019533 0.024019
0.145346 -0.050000 0.200000 -0.017647 0.008959 -0.037128 0.034544 0.018559
0.153346 -0.050000 0.300000 -0.017647 0.005743 -0.023227 0.049578 0.010806
0.159332 -0.050000 0.400000 -0.017647 0.004018 -0.016567 0.064916 0.002702
0.164035 -0.041310 0.500000 -0.017647 0.002761 -0.013118 0.079867 0.000000
0.167929 -0.034435 0.600000 -0.017647 0.002005 -0.011987 0.094648 0.000000
0.171379 -0.031473 0.700000 -0.017647 0.001625 -0.011929 0.109864 0.000000
0.174584 -0.029861 0.800000 -0.017647 0.001471 -0.012103 0.125888 0.000000
0.177629 -0.028548 0.900000 -0.017647 0.001427 -0.012105 0.142867 0.000000
0.180544 -0.027256 1.000000 -0.017647 0.001426 -0.011861 0.160758 0.000000
0.000000 0.987082 0.000000 0.023529 -0.002264 -0.050000 0.000000 1.000000
0.127045 0.295371 0.100000 0.023529 -0.004666 0.050489 0.017073 0.000000
0.144422 0.153883 0.200000 0.023529 -0.003064 0.030459 0.034353 0.000000
0.153294 0.103875 0.300000 0.023529 -0.002205 0.022817 0.050127 0.000000
0.159251 0.081482 0.400000 0.023529 -0.002247 0.019663 0.064923 0.000000
0.163812 0.067491 0.500000 0.023529 -0.002475 0.017669 0.079223 0.000000
0.167668 0.057166 0.600000 0.023529 -0.002547 0.015758 0.093717 0.000000
0.171151 0.049324 0.700000 0.023529 -0.002430 0.013918 0.108936 0.000000
0.174415 0.043484 0.800000 0.023529 -0.002201 0.012346 0.125145 0.000000
0.177517 0.039221 0.900000 0.023529 -0.001939 0.011146 0.142359 0.000000
0.180471 0.036086 1.000000 0.023529 -0.001689 0.010281 0.160441 0.000000
