# T[GeV]  muB[GeV]  eps[GeV/fm^3]  nB[1/fm^3]  muQ[GeV]  muS[GeV]  P[GeV/fm^3]  residual
0.000000 0.017516 0.000000 -0.100000 -0.002702 0.014212 0.000000 1.000000
0.033603 0.902581 0.050000 -0.100000 -0.015324 0.127651 0.001489 0.150000
0.034181 0.928055 0.100000 -0.100000 -0.017461 0.150442 0.003429 0.200000
0.105705 0.628522 0.150000 -0.100000 -0.013017 0.135150 0.015530 0.200000
0.124809 0.499679 0.200000 -0.100000 -0.011864 0.105926 0.025117 0.200000
0.135628 0.418135 0.250000 -0.100000 -0.011231 0.086325 0.034157 0.200000
0.143093 0.359092 0.300000 -0.100000 -0.010375 0.074722 0.042933 0.200000
0.148823 0.312841 0.350000 -0.100000 -0.009456 0.066901 0.051603 0.200000
0.153446 0.275386 0.400000 -0.100000 -0.008620 0.061356 0.060149 0.200000
0.157232 0.245336 0.450000 -0.100000 -0.007939 0.057427 0.068447 0.200000
0.160373 0.221794 0.500000 -0.100000 -0.007430 0.054591 0.076466 0.200000
0.163047 0.203531 0.550000 -0.100000 -0.007072 0.052471 0.084307 0.200000
0.165400 0.189287 0.600000 -0.100000 -0.006826 0.050826 0.092110 0.200000
0.167533 0.178034 0.650000 -0.100000 -0.006657 0.049501 0.099991 0.200000
0.169510 0.169007 0.700000 -0.100000 -0.006535 0.048397 0.108026 0.200000
0.171372 0.161644 0.750000 -0.100000 -0.006439 0.047447 0.116259 0.200000
0.173145 0.155535 0.800000 -0.100000 -0.006354 0.046604 0.124706 0.200000
0.174845 0.150371 0.850000 -0.100000 -0.006273 0.045834 0.133364 0.200000
0.176482 0.145924 0.900000 -0.100000 -0.006191 0.045115 0.142222 0.200000
0.178063 0.142023 0.950000 -0.100000 -0.006106 0.044430 0.151264 0.200000
0.179592 0.138540 1.000000 -0.100000 -0.006017 0.043769 0.160471 0.200000
0.000000 0.017516 0.000000 -0.075000 -0.002702 0.014212 0.000000 1.000000
0.033603 0.902581 0.050000 -0.075000 -0.015324 0.127651 0.001489 0.125000
0.092287 0.677915 0.100000 -0.075000 -0.014163 0.148609 0.009127 0.150000
0.120094 0.496574 0.150000 -0.075000 -0.011461 0.098113 0.018976 0.150000
0.133059 0.398011 0.200000 -0.075000 -0.010378 0.075927 0.028231 0.150000
0.141339 0.332112 0.250000 -0.075000 -0.009182 0.064663 0.037121 0.150000
0.147487 0.282176 0.300000 -0.075000 -0.008055 0.057232 0.045855 0.150000
0.152364 0.242032 0.350000 -0.075000 -0.007092 0.051874 0.054406 0.150000
0.156275 0.210296 0.400000 -0.075000 -0.006336 0.047991 0.062582 0.150000
0.159443 0.186137 0.450000 -0.075000 -0.005799 0.045124 0.070334 0.150000
0.162094 0.167921 0.500000 -0.075000 -0.005449 0.042936 0.077803 0.150000
